date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:59	31872/31872	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2012:06:38%20GMT	http://themazine.com/html/chcharity/index.html	E:/charity/themazine.com/html/chcharity/index.html	(from )
10:27:59	285/285	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Jan%202018%2004:57:56%20GMT	http://themazine.com/robots.txt		(from )
10:27:59	4654/4654	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Dec%202017%2022:18:20%20GMT	http://themazine.com/html/chcharity/images/logo/favicon-1.png	E:/charity/themazine.com/html/chcharity/images/logo/favicon-1.png	(from http://themazine.com/html/chcharity/index.html)
10:28:00	80699/80699	---MCZ	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202017%2020:32:20%20GMT	http://themazine.com/html/chcharity/css/style.css	E:/charity/themazine.com/html/chcharity/css/style.css	(from http://themazine.com/html/chcharity/index.html)
10:28:01	14171/14171	---MCZ	200	added ('OK')	text/css	date:Sat,%2030%20Dec%202017%2020:32:26%20GMT	http://themazine.com/html/chcharity/css/responsive.css	E:/charity/themazine.com/html/chcharity/css/responsive.css	(from http://themazine.com/html/chcharity/index.html)
10:28:01	4669/4669	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Dec%202017%2015:11:48%20GMT	http://themazine.com/html/chcharity/images/logo/theme-main-logo-1.png	E:/charity/themazine.com/html/chcharity/images/logo/theme-main-logo-1.png	(from http://themazine.com/html/chcharity/index.html)
10:28:01	37371/37371	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2012:11:26%20GMT	http://themazine.com/html/chcharity/index-2.html	E:/charity/themazine.com/html/chcharity/index-2.html	(from http://themazine.com/html/chcharity/index.html)
10:28:02	24204/24204	---M-Z	200	added ('OK')	text/html	date:Sun,%2024%20Dec%202017%2018:48:22%20GMT	http://themazine.com/html/chcharity/events-v1.html	E:/charity/themazine.com/html/chcharity/events-v1.html	(from http://themazine.com/html/chcharity/index.html)
10:28:02	20471/20471	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2012:16:16%20GMT	http://themazine.com/html/chcharity/events-v2.html	E:/charity/themazine.com/html/chcharity/events-v2.html	(from http://themazine.com/html/chcharity/index.html)
10:28:02	27381/27381	---M-Z	200	added ('OK')	text/html	date:Mon,%2025%20Dec%202017%2012:41:40%20GMT	http://themazine.com/html/chcharity/events-details.html	E:/charity/themazine.com/html/chcharity/events-details.html	(from http://themazine.com/html/chcharity/index.html)
